,Question,Answer
4429, get them with duals thumping  ,They have this huge fight going over redistricting here 
4430,Okay  ,Okay  
4431,I havent   ,Uhhuh 
4432,Lipsmack breathing Why you asking laughter ,C but  
4433,Yeah ,C And  in  
4434,D so   Had a lot of people out at work  D you know  for fishing   and  and   F uh ,I just know that F um   
4435,Uhhuh , My  my  position is people who dont vote dont have any right to complain about the way the governments going 
4436,un  , They have a  they have a  similar situation in that a lot of  old guys on the team  
4437,Entering bad information of one sort or another  ,C and  money is just given to them  
4438, C And    that  that  has to do  with D you know  the women getting out and  other  women seeing  F uh  women seeing   other women D you know ,Yeah  
4439,C But   thats  F uh  D you know  thats  the best way I found,C and 
4440,coming out at once  ,Going to actually shop at Best Buy  for  A Best Buy is one of our electronic stores  
4441,F Oh  oh , It  it  F uh  definitely fluctuates mainly with what Im going to be doing that day and kind of what my mood is  
4442,D Well  there is always  the  F uh  the  possibility even remote as it is    of  F uh  of  mistaken  F uh  of   , C And  fish  for one of the best fish  restaurants in town is either  Vincents 
4443,Uhhuh , D you  know  
4444,F Uh  weve got plenty  ,What do you think 
4445,I really dont miss ,Yeah  
4446,Uhhuh ,C and  we found that if its in a certain  part of Texas some people come  
4447,F Uh  I suppose I would ask what the child wants to do in life and what the child hopes  to  to  get out of college ,C and  it was probably seven or eight months after that she had to go in a nursing home  Because I was pretty much giving up my life my sister was and plus she was driving my father crazy  
4448,Right ,Its such a pretty lake down there  
4449,C but  I think we all could in a family D say  have an electric car where  my   one of my daughters or  my wife  my wife  she could use one now if they had one D you know ,How about you 
4450,C and   I   I  think Ive seen it once  ,Yeah  
4451,C and  I dont laughter  ,Bye bye 
4452,C and  want to develop that , I guess  I guess  these are going to croak too 
4453,uhhuh  ,how long does it take to go back up  About the  same time  
4454,F Oh  I had not  ,I guess the guy thats on the new STAR TREK series was in that thing F uh  laughter 
4455,Uhhuh ,F Um  
4456,F Uh  I work out with free weights ,C But  theres  no  D you know  nothing  else laughter to keep it going  
4457,Uhhuh  ,  the  the  two twins play the  the twins play    that one  that   the  youngest girl 
4458,Right ,Thats what I would do 
4459,Thats good  ,However the things that have  gone  gone   on in the last couple of years we cant afford too many of those D you  know   the   
4460,Yeah ,C And   the  the  people should be F uh   selected so that we know that they are all right and that  theyre  theyre  not F uh   acquiring weapons for illicit use  
4461,C But  my fiancee doesnt really like  it  ,Uhhuh 
4462,theres a point where  ,I think mainly because I havent been watching whats politically going on
4463,F uh  you take a life you give yours ,I
4464,Yeah  ,C And  a total ban on guns would just leave guns in the hands of criminals who dont care what the rules are anyway 
4465,Laughter,I dont know  
4466,C but  I feel like maybe  the American people  and   and  the government are aware of the things that we  did wrong that we didnt support   that static ,I was f  
4467,Laughter,C So   now theyre a year older 
4468,C But  in the summer I try to read a lot ,F Uh  I hear thats nice  
4469, C and  theres no surprises in that laughter ,F Huh  fascinating  
4470,C and  we said lets go to New Orleans  ,Yeah 
4471,C and  its delicious  ,I dont like pulling a cart on Firewell golf course because they want you to pull the cart on the path 
4472,Uhhuh ,Yeah  
4473,Im home with the holidays ,are you on any kind of F uh  regular exercise plan 
4474, As far  as I know  ,  i   during  the  the  year because my son gets that  
4475,yeah ,and that doesnt change you know  
4476,Pause D So   how  ,C but  I need for the government or the agencies to find a way to do it on the amount of money D you know  that I can afford 
4477,C and  I went out in the back yard to get Brian  ,Huh 
4478,In Colorado its interesting  , C and  nothing ever happened  
4479,C But   when was  F uh  when she was  here last summer we played tennis  ,C so  everythings metric  
4480,my wife handles a lot of the day to day finances  ,C and  he wants to see that  
4481,Of course you got a little different direction going  ,C but  he said just put  N A  
4482,I try to ,  under  understanding   those folks 
4483,Throatclearing D Well  always watch out for  s   anybody who bills you out of Atlanta Georgia  ,C And then   I just started  I started  back a year and a half ago  
4484,Im not the one who writes the orders  , D you know  laughter  
4485,F Uh  its been great because we havent had to use our sprinkler system  ,Yeah  
4486,be ,Exactly 
4487,Yeah  ,I think the future of this whole thing is going to be what happens with the day care situation 
4488,Right  , C and  F uh  have you seen that one 
4489,  thats    thats  right  ,C And  we see that more and more  
4490,C and   F um  now this weekend well have a babysitter come  ,Uhhuh 
4491, C and  F um  we had some weird cucumbers because they grew inside the fence  ,C And then  its done completely done 
4492,Kind of scattering the vacation  out  throughout   the year , F Oh  yeah  
4493,C and  the foods are wonderful  ,C but  I can be professional too 
4494,C and  F uh  they may even get worse because  they know we have nothing to support myself   ,E I mean   it was  
4495,F uh  F uh  I  know it  ,I just dont like squash 
4496,We have   a   a  dog that we got from the F uh   ,Uhhuh 
4497, maybe theyre afraid laughter that people are going to,Uhhuh  
4498,C and   F uh  I really dont have any recourse  ,C so  
4499,I have a job  ,if   they did hit a   ball  I would have been afraid it would have knocked my face in D you know  
4500,byebye ,a pro at this 
4501,I got customers in Oklahoma City and Tulsa and  Perry Oklahoma  ,Yeah 
4502,F Oh   I like that one  ,     it isnt 
4503,C and  though I D you know   ,Right  
4504,D Well  other than I need to go ,Uhhuh very faint 
4505,that  ,D You know  Im  
4506,Fifteen ,C but  theres a surprising number  that are still around  that arent   noise  that dont have  those  
4507,Uhhuh  ,What I miss up here is  Im originally a Texan and I miss home cooked Mexican 
4508,Thats all there is to it ,C and  he had his pockets full of stuff D you know  when he was caught  
4509,Laughter  Yes ,or  certainly  certainly  not a dog  
4510,  This was  it was not my   it was   my mothers uncle  ,C and  my father wasnt using it    slash error
4511,selecting D you know  clean junk as they say ,C And  F uh   I ho  I really hope   she does well  
4512, Okay  Lipsmack ,Yeah 
4513,Yeah ,thats fun laughter   
4514,D Well , Do you  do you  test each individual one  
4515,C and  now F uh  Ive got to jump back in and finish the  , I   I  really dont know what they do 
4516,F Oh  how sweet ,F Oh  really  
4517,F Uh  why should we let them set in prison  and work on their college degrees after theyve mowed down a class yard full of kids    or t   or tried to  or  done   their very   D you know   given their  best   effort at doing that , for me to 
4518,Is he still around here ,seven twentyfive 
4519,Uhhuh , C and   C and    D you know  if youre going to be jogging on the side of the road  thats   thats  even more miserable  
4520,Yeah  ,F Oh  it is  
4521,F Oh  D well   thats  thats   a ways away  ,And I know that theres been battles over the states up here  
4522,doesnt seem the courts ,Uhhuh 
4523,right  ,C but  thats always a little bit more expensive than what I could look at 
4524,Because E I mean  when I was a kid they never did stuff like that  ,that you really have to watch your children so closely now  
4525,F Oh  neat , the  gym because thats very stressful to me  
4526,C And so  I thought Id try it too ,D Well  I guess I stand  on  F uh  on  probably ten for no F uh  restrictions  
4527, I   F uh  I  dont even remember  seeing that advertised  ,Uhhuh 
4528,F Uh  we have a two income , D Well   D well   Pat did you vote in the last election 
4529, Right  ,Okay 
4530,C And  F uh   ,no  
4531,Yeah ,Uhhuh 
4532,What kind of fishing do you do ,C and  the glass on the windows  
4533,Uhhuh ,C And then  theyre some sections kind of in the corner areas  
4534,C But   ,C But  F uh  hes got to be way up there 
4535,Laughter C so  you use a credit card ,the things that we kind of looked at  is  is  you want to see how many teachers you have
4536,I guess its  my  my  fear of the national government and also because the bureaucratic ,thats true  
4537,Talk to you later ,I can understand that very easily  
4538, you would favor   invasions  of privacy on the other hand thats arguable but  that   that   F uh  people whos jobs are critical to public safety should have to meet special standards  ,No  
4539,Yeah ,have got kids laughter 
4540,Shoot them ,C but  I tell you F uh  we have incredible property taxes down here 
4541,Do you still have the car ,philosophy  that  that  was here  in  
4542,C And  its almost like theyre killing each other off  ,Yeah  
4543,Yeah  ,Yeah 
4544,Actually I plan them a month in advance  ,I dont even know if there is a number that they allow in anymore  
4545,Uh for you know  ,E I mean   I   I  used to enjoy going  
4546,yeah  ,Seems like F uh   Ive  weve  done some  remodeling of some F uh  rental houses that we have  
4547,C and  Ill go nothing  ,That was nice breathing laughter 
4548,In fact  we got  this past year we got   all of our money for the Christmas tree because we saved cans for the entire year ,Laughter  Yeah  
4549,Right ,C but   F uh  D you know  since I live here so close to Arlington F uh  thats the  team that Ive been kind of following 
4550, Bye  ,C and  
4551,Laughter,I know what I like  
4552,C And  F uh  F oh    the  the   the   uni  University  of California at Berkeley puts out THE WELLNESS LETTER   Which  is   F uh  turned into a fairly well subscribed to F uh  newsletter,C And  were all going to have to do it  
4553,Yeah  ,why should we help starving people somewhere else 
4554,The uh there i there does seem to be a lot more in the curriculum  ,D Well  no  
4555,C so  ,C Because  D you know  we are what we teach 
4556,C but  I take advantage of  F um  dinner time  , sometimes  many times  I end up feeling like Im paying too much in taxes 
4557,C Because  I have always played classical  music F uh  or classical style  ,C And  one things that theyre saying now  
4558, C and   C and   I think  thats good  ,C But  my  Dad F uh   
4559,Yeah  ,F Oh  
4560,Yes  ,and he seems to enjoy it 
4561,Like I said we are probably as far as you can get from the Seven Eleven and still be in Texas ,F Oh  uhhuh 
4562,the finances  ,Uhhuh 
4563,  it  its   its  changing to a degree  ,laughter  Thats 
4564,F Huh  ,family  
4565,Does she have a  ,Uhhuh  
4566,whatever  ,C And  you only get one of them 
4567,From  some  some  list  , C and  that is  F uh  C and  that is  the exclusion of jurors because of or in spite of their race F Uh  
4568,D Well  now when I first moved to Dallas I moved up  here by myself  ,Yeah  
4569,it makes it a little bit easier  I think that way ,He would love it if I would go out and play with him  
4570, satellite dish laughter ,Right 
4571,There would be no figuring  , Yeah  
4572, Yes  ,Yeah 
4573, Ill stick  to    F uh  to  the   D you know  sometimes Ill stick to a  certain party depends on the guy , C and   F uh  well try to rent something that they can see as well as something else that we can see  
4574,Uhhuh ,C and  Ive been sweaty  
4575,Yeah ,Not inside  
4576,F Huh  ,right 
4577,Uhhuh , Yeah  
4578, C so  Ive always been involved D you know  in one ,F Uh  its a Sky Hawk Buick 
4579,She is ,C but  I always get books like F um   
4580,Yeah ,even when I was in elementary school years ago laughter 
4581,Yeah ,C and  this would have to come rather quickly and would have to come originally also where were not paying  
4582,Right ,C And  F uh   shes not  shes not   feeling too great today 
4583,E I mean  I did some of it  ,in their schooling  they  they  got more of the classics than I did
4584,The NinetyEight  , E I mean  in a grocery store 
4585,Right ,Yeah 
4586,Uhhuh ,C So  they do force them  
4587,Charleston West Virginia ,we  did it laughter 
4588, he took one  for   for  F uh  WalMart ,What do you take 
4589,Uhhuh ,C and  it came out during the trial that F um  they had tried to rob another place  
4590,D Well    I  I   I  think were going to see  that I think F uh  that the quality that the Japan carmakers had is slipping a little bit,C and   that   D you know  that  was so wonderful that they done that  
4591,the only thing that we were worried  about was the air conditioner because theyd have it just running constantly with the doors and  windows open laughter ,isnt that terrible 
4592,D Well  good ,they each have their own rooms  
4593,You dont sound like youre in the north  ,Uhhuh  
4594,People who kill policemen  , C and  our son and daughter are both married  
4595,C and  I dont know the metric system C and  I dont care to learn it  ,I just saw on the news last night that they said the average time a sentenced  murderer D you know  is in jail is two years before hes paroled  and a rapists is  D like  six months
4596,Thats the same with me  ,It certainly does  
4597,Yeah  , expect to help to clean up then  after   laughter  
4598,D Well  I am glad you have broken the ice with me because now  I will  I will  start doing it laughter ,yeah 
4599,I think you will enjoy that ,F Oh  so did I laughter 
4600,E I mean   its still  ,killing a child or kidnapping F uh   
4601,Uhhuh ,I was on the plane heading back to Dallas before it dawned on me stupid you own property in Garland laughter 
4602,C so  ,Uhhuh 
4603,we come up here in the summer  ,we do laughter  
4604,Thats right  ,Laughter
4605,Hes a little brat ,C and   the   what people need to understand in my opinion A now this is just my opinion okay  F uh  is that businesses create jobs and jobs create income and income pays taxes 
4606,And  nights ,C so  I wasnt using them too much  
4607, C and  hes still doing great ,C So  F uh   as   when they were growing up   I  probably we  had a lot of similar things  l  like  you had D you know  having the time  
4608,Yeah  , C And     C and   most people that do sit on juries  
4609,Uhhuh  ,No  
4610,F Oh  yeah ,C and  Ive often wondered why havent you 
4611,They talked about individual cases of people trying hard  ,Laughter
4612,D You know  the way to stop that kind  of behavior  is   is  twofold  ,course  weve got  weve still got  it  
4613,motor homes can be a lot of fun ,C and   F uh  you all come 
4614, the   the  air systems  are reasonably calm  ,Okay beep 
4615,Right ,I like to listen to that  
4616,Right laughter ,No  
4617, D Well   yeah  ,C and  youre doing a whole lot better D you know   
4618,C and  we have several young children  ,C And  it gets like twentysix miles to the gallon on the road 
4619,C And  I would   it like that  ,Take care 
4620, It  F uh ,E I mean  would the camping be part of a long hike 
4621,D Well  I  ,Uhhuh 
4622,C  So  they were very very F um  passionate,It was about four or five years ago 
4623, C because  if you over  ,and then go out and fiddle D you know   just walk around the yard and 
4624,Thats nice , someone said  that  
4625, and  was going target shooting D you know   ,There was a F uh   
4626,yeah  ,okay 
4627,D Well  characteristically  in some  in the  local elections ,C and  its the  
4628,Yeah  ,We would want to razzledazzle a bit  
4629,C but  F uh ,There is somebody  
4630,C And   I  I  was  ,its just not going to happen  
4631,D boy  I cant remember  ,nursing home that we finally had  
4632, C and   F um  C but   it only cost you about a thousand dollars to go there  ,F uh  F uh    th  th   there  was F uh   
4633,C But  when you were growing up  and they werent  and the younger ones werent  around what did you do , Snort Yeah  
4634,C So  do you just have two kids  ,Yeah 
4635,once youve made a decision that way its a little difficult to go back on it ,C And   they    I do not think they  have seen a really high  
4636,C But  at the same time  I  I  agree  , C but  F um  we were E I mean  F um   
4637,I know you got F uh  certain spring lever that you got to have or  some  F uh  ,Yeah 
4638,C and  somebodys taking that away ,F Uh  its in a subdivision and one story  
4639,F Oh  they are  ,sometimes Ive been when I thought D Well  it wasnt as good  
4640,Uhhuh ,A F oh  goodness   my mind has gone blank  its  F uh  Othello   
4641,Uhhuh ,C and  she says after working in there  
4642,D Well   I think  I think  a lot of people D you know  kind of felt that way  ,Yeah 
4643,Uhhuh ,F Ha   how about we end this 
4644, We went  F uh  we took the  southern route and  went  went   through F uh  F uh  the Grand Canyon again  ,And in Sweden they have socialized medicine  
4645,C so  a lot of  times I wont get out and do it  ,C but 
4646,and we had two children  ,Right 
4647,she said I have taken a new stance  ,F Oh  which one do you like 
4648,C and   F uh  really were not  doing much at all  ,Uhhuh 
4649,Yeah  , if you want to  
4650,Yeah ,I like that show 
4651, I  I   keep pretty close tabs on the paper  ,D So  the general topic is hobbies 
4652, D you know  then you only had to pay the  , from F uh  eating at home  
4653,Im a Christian  ,A couple  
4654,Yeah  , everything paid D you know   
4655,the team  D you know   ,Uhhuh  
4656,C but  ,C and  I started taking my things behind there 
4657,F Um  ,Oh  
4658,F Oh  we love it ,Thats true  
4659, she is  she  must have found some jewels,Sure  
4660, Huhuh   ,Yeah  
4661,its kind of frustrating too for those who are legitimate now ,C But  its always the rich person that gets into government   That has the money to advertise the money  to d  to do  this  
4662,F Oh  man ,Theres no water there  E I mean   F uh  
4663,I dont know  ,yes 
4664,C but  it looked like leather day at the geriatric ,or not New York City upstate  New York  
4665,Laughter  On your friends  ,C So  its getting people clean out their closets and such 
4666,   I thought she    was a prisoner  of war or something for like ten years , I  Ive  got  a  a  Pontiac Sunbird Turbo that  
4667,F Um  C so  now since F uh  we have a three year old and a two year old now F um  ,C and  I dont necessarily think that they should F uh  fund AIDS research  and in the process neglect cancer research or whatever  
4668,D You know   ,Yeah 
4669,Uhhuh  ,F Oh  okay 
4670,Uhhuh , C and  Ive made many trips to  Washington and down to Virginia Beach Virginia where my mother lives  and things like that  
4671,Uhhuh ,C And  F uh  sigh lipsmack Seattle is on Puget Sound which is a inland waterway between two mountains  
4672,Oh ,D you know  I think people that own homes a lot in North Dallas are very materialistic 
4673,Yeah  ,Uhhuh 
4674, Put them fools in there ,Let me tell you its F uh  
4675,I just ,Huh 
4676,Yes ,C and  Ill do the same  
4677,Its just something I have never developed F uh  an interest in ,A lot of people have a hard issue a lot of hard feelings about it 
4678,C And    it  it  just doesnt        it just doesnt   make that much difference in the average life  ,C and  you should be able to either put the guy to death  
4679, I would be very  I would like to see  some numbers on that  ,C and  
4680,If more and more people are using drugs then I think that some people have to guard against people that are using drugs ,Yeah 
4681,we need you to come back and get this stuff done  ,its its the uh ongoing acid rain problem  
4682,Im  ,Because you might find that its beyond F uh  what youre willing to put into it
4683,you can ,Uhhuh 
4684,thats the one I was thinking of ,C So  what we could  do is take all the retired people that are going around in their big mobile homes and they could do public service all over the country 
4685,I thought we were going to talk about social changes  ,C But  F uh  in Dallas    I   I just    I just  havent seen basements in houses 
4686,C And  ,Yeah 
4687,F Uh  C and     we budget  were   our   our new thing to our budget is  we just had a baby  ,right  
4688,C And  they may not know a lot about talking  what theyre teaching  ,C Because  eventually D you know   it  it   seems that no matter what they do if they put it in oil drums and then seal it in some kind  of cement lined F uh  dump area  
4689,D Boy   thats   those are  a long way ,No 
4690,F Uh  C but  they say you ought to use your gloss mainly in your ,I guess weve spent our time  
4691,F Um  ,D Now  some children do real well that are at the age of four or five or children that have been in that kind of system for a while  
4692,Right ,F Oh  okay 
4693,the Lincoln ride is certainly good too  but  the  this   Lexus is nothing like I have ever been in before   one or two utt,Yeah 
4694,C but  we try not to  ,yeah 
4695, C And   F uh   thats  thats  a problem that I have is not getting just a little brief F uh   idea of whats happening  ,its got 
4696,Uhhuh ,Sure 
4697,thats the way it is here in Colorado also  ,Thats right 
4698, I   I  dont think a lot of teachers are very professional  ,Laughter
4699,E I mean   it wasnt a very F um  strong stroke  ,Uhhuh 
4700,Its a fantastic experience ,It F uh  kind of chased them  
4701,D Well  D see  this is it  ,Uhhuh laughter 
4702, C And   C and   I dont know  ,Right 
4703,  I  D yeah  I  tend  to think the repeal system for the death penalty is a  little  little  too lenient ,No  
4704,are pretty good  ,C And  I just didnt think that was going get it  
4705,C and  its fun to F uh   ,C so  we have had F uh  once again  D you know   some really   a real  lean year for us 
4706,Yeah  ,I saw THELMA AND LOUISE
4707,F Uh  C and  it  ,  Its  its  an enjoyable part of driving  
4708,D Well  thats amazing how  I used to  when I was in college I used to   have the stereo on all the time or I had on M T V or something ,F um  even when I go to church I have to have something I can just throw in the washer when Im through 
4709,C and   F uh  he said there  was nothing wrong with the alternator  ,C And   they can all stay in those cabins  
4710,Yeah , C and  Sams and WalMart   are  are  owned by the same people  
4711,Right  ,were just using latex  
4712,C and  it was really funny because they were made from yogurt and carrots ,C and  it  
4713,F Uh  ,No  
4714,C But  on the other hand I see my wife with  ,I dont think they should show it during prime time  
4715,D You know  one thing you might  do with in a situation like that though its just D like  keep ,I think that if somebody else picks him up  
4716,Okay  ,Yeah 
4717,C so  ,might   spelling
4718,Yeah ,C But  F uh  being  a   F uh  a   rec vehicle owner  
4719,C and  it goes into all the movies previewing the movies ,Thats great  
4720,Were supposed to talk about the  Middle East Crisis,C so  you could tell  
4721, C and   she was able to make it  ,C and    the boy  one of the younger boys  when he was younger about three years old  got a  F uh  got a   nice marker and got up on the ceiling and decided to draw pictures laughter 
4722,C and then  I paint around it  ,Yeah 
4723,D Well  we F uh  remodeled a bathroom,F Oh  yeah 
4724,Oh yeah  , C And   C and   my reaction is  I would have run over fifty people  before   rather than stop  
4725,Kind of F um  buffet style  F uh   ,C and  F uh  now that we are down here I think a lot of people do some F uh  bass fishing and  strip bass fishing  
4726,Im anxious some day to have one here ,C but   yeah  
4727,West  ,C but  if she wants to go to a meal she can go down the hallway F uh  to a room where theres a cafeteria  
4728,C and  I think  the   the  main thing is like you say  its a   its a  good out  ,C But   I got it when  I got it when   the eightyeights first came out  
4729,C and so  my dont change dramatically over the years  ,Uhhuh  
4730,Is it working  ,C and  sometimes you can F um  get the H B O specials 
4731,Uhhuh ,C but  F uh  
4732,D Well  D see  were in a real small county area ,Yes 
4733,no  ,Yeah 
4734,C and  really no one  would be  would only  answer   to  to the government  to a big  bur  bureaucratic  mess   ,D So  what kind of neat hobbies do you have 
4735, Just F uh   ,Yes  
4736,C And  it really made a difference static to us ,Youve never seen NORTHERN EXPOSURE 
4737, C And  something else that I would ,Yeah  
4738,Of course life is a lot more complicated too in ways F um   ,Its  a   a  missions organization  and F uh  doing F uh  translation linguistics that sort of thing 
4739,In Durham which is right next to Raleigh ,That I dont think I could do anyway  
4740,C so  D you know  I think that   it   a trial by your peers should be exactly that someone in your own age bracket  ,We got free tickets because  someone at our church    one of the deacons at church  F um  parks cars at The Mansion at Turtle Creek  which is D like  one of  the   F uh  the  places and stuff 
4741,Cough,Thats kind of like what wed like to do  
4742,C And so  now   we  we   we  branch out at this Wendys or laughter some other fast food joint ,C And  
4743,Theyre not owning homes period ,C And   it was  I was  almost more reluctant of letting my older children go babysit for her because I didnt know her 
4744,Great ,F Oh  yes  very much so  
4745,Yeah  ,sounds like you 
4746,C and   she said   she said       theres no trees down there ,Wow  
4747,the man always gets that chore  ,short nerdy guy with glasses 
4748,Said D you know   ,Of course  
4749,C but  it was a decent car ,He said that dont worry  
4750, like  I am D you know   and  and  I wish I could be more that way  ,Uhhuh 
4751,C And    I  I  never  I   didnt want to say too much for fear he would think it was wrong and wouldnt do it anymore laughter ,Everything we had was in boxes  
4752,Yeah ,Oh 
4753,Yes ,C And then  when you get one of those tornado type 
4754, its  its  a gamble  ,Theyre not going to change that to meters  
4755,C So  there was no repercussion at all  D You know  other than insurance  ,I guess it just depends on how they manage it 
4756, F Uh   C and    C and    D you know  some people might not believe that  ,F Um   I  
4757,If you can control those three areas then are you going to live longer D you know  cause those are risk factors  ,C so  I cant say that
4758,C but  I built a small deck in the back ,D You know   all those things that really could be changed  that arent  D you know   that  that   arent   
4759,D now   I  weve  been there twice  C and   C and   both times  I just  F oh  the food just  didnt quite settle with me  ,He goes do you want to dance  
4760,I would think it wouldnt be D you know  much more than the eighteen or  nineteen percent everyone else charges ,F Oh  thats sad 
4761, or an  id  individual  perhaps being single ,D Well  we really miss   Utah laughter  
4762, no  ,C And then  I just decided that I was just missing a lot of their time whether they were so little  
4763,No  ,C and  
4764, C so   dont worry about it  ,might as well buy me a new car for that 
4765,Uhhuh ,C and  I was absolutely rolling in the aisles  
4766,I dont know if I can quite call myself a distinct generation from you  ,F Oh   I  laughter in my  opinion  its even than  
4767,F Um  uhhuh  ,Yeah 
4768,F Oh  okay ,Yeah 
4769,C But  seeing what drugs did to him  makes me see  makes me realize  what it could do to people D you know  in the work force as well ,Yeah 
4770,Uhhuh , Yeah  
4771,go ahead ,C or 
4772,C or  we go on trips   or D you know  just   ,yelling C but  he D you know  
4773,C So  sometimes F uh  especially traveling with T I,I dont know how long thatll take  
4774,F Oh  thats true  ,because   its  its practically   its  in their backyard too 
4775,Uhhuh ,C and  F um  when we bought it  the   F um  it had been vacant for a while because the family will retired       
4776,C but  ,the  ir   irrigation  because its gotten so bad the past  few years  
4777,my  ,I think were overtaxed to the hilt 
4778,C and  its okay  ,I know we have a piece property there  
4779,to be enforced , annual fees or Ill just go to somewhere else 
4780,Okay  ,F Oh  Wisconsin 
4781,C And  they do it that way ,what I got the most exposure to  
4782,July ,C but  F uh  it was kind of interesting because she was kind of the strict one  
4783,he said F um   he should have let   Bush should have let  him finish his job ,Yeah  
4784,Even the religious organizations ,Okay  
4785, is medium  sized ,D So    what  what    how   do you spend the time with your children 
4786,That C and    ,F Um  D see  I have to take F uh  medication   for a  F uh  for   for  kidney transplant 
4787,C And  she came upon  a   a  budget book that she had back in the thirties  F Uh ,Right 
4788,C or  youre in the middle of cooking something  ,F Uh  a lot of times the foods  
4789,Which is why people are talking about laughter  ,Yeah  
4790,C and then   the  the   ,F Oh  wow thats great laughter 
4791, hackers  ,C And so  its real easy because you  just make one or two things  
4792,Uhhuh ,I guess it just couldnt handle
4793,Oh , societys  really going to have to get  used to it  
4794,D you know  husband and wife owners F um  who had never done this before  ,Yeah 
4795,Yeah ,  C and   D you know  C and    I did it    C and  I did it   for a long time  
4796,C but  they have snakes over there , if its F uh  any large purchases F uh  youve got to kind of think about F uh  how much youre going to put down as far as F uh  payments on it so that youre not getting eighteen percent or 
4797,interdictions  hopeless  ,Weve driven them for about probably twenty years 
4798,Paroe   spelling Perot,C so  we put hers in  
4799,Uhhuh ,It  
4800,childrentalking noise  Long pause in conversation,Uhhuh 
4801,E I mean  I suppose if you were   a  a   more a  receptionist and  meeting the public and it was the image of your company at stake ,F um  they really want a dog badly  
4802,F you know  up north and everything do laughter  ,C and  it was like this  ho  big house   had a basement  
4803, you  you  get one or two at a shot D you know   ,I see 
4804,Uhhuh , Wait  
4805,Yeah  ,Yeah 
4806,Uhhuh ,Thats about the extent of it 
4807,  It  D yes     Shouldnt this end in a slash ,Be excited about all of it 
4808,No  ,I was really tired of F uh  the Michael Bolton 
4809,C and  Im out at Brookhaven College  ,What did you call that 
4810,F Uh  D well  yes  ,Its real interesting this last F um  tax season  
4811,C But  this was F uh  really large ,Right 
4812,C And  my mom had six kids , Yeah  
4813, C and   D you know  some places have  ,  My  F uh  my  roommate is a F uh   
4814,D now   you got to   you got to  have one and not mix them up ,D yeah   hopefully you have a lot to talk about in this one  
4815,was that the man   that  that  claimed he was abused  ,C and 
4816,they just get  so excited to be away from home,the success rate of getting it sorted properly seemed to be poor  
4817,F Ooh  ,yeah 
4818,  d  do  you all have  do you all still have  driveins up there  ,we F uh  F uh   
4819,Not really ,because I like the Lincoln  
4820,Laughter, whats  what is  that Saint Jack or something 
4821,Laughter,Yeah 
4822,Im not sure D you know   ,C but  F um    i   I     I  just think D you know  youre right  
4823,C And  of course theres no hook  ,F Oh  okay  
4824,Laughter D Well  I understand that  ,C but  D you know  those kind of things Id like to know laughter 
4825,Yeah ,Yes  
4826,it has to be reinforced in the home ,Yeah 
4827,For sure ,for example D like  the COSBY SHOW to me is just kind of like a waste of my time
4828,Okay  ,E I mean  I dont know why I even went to college  when I was seventeen 
4829,C So  ,C and  I said D well   D you know  Im
4830, in case F uh  they didnt put the oil in or whatever  ,A poodle miniature or F uh  full size 
4831,Uhhuh  ,Right 
4832,Right  ,I cant remember  
4833, with  with  other things going on  it  it  seems to have lessened  , C and   we had a broad spectrum of languages and  cultures and backgrounds
4834,Right ,C and  were all there  
4835,C But  I think a lot of nursing homes really F uh  are guilty of neglect , C and   D you know  C and    specifically nudity things like that F uh   
4836,F Uh  weve got a house  ,Ive just  
4837,D Well  Im a fisher laughter , Ive  Ive  had one myself  
4838,laughter would they  , C and  F uh  people across the street had a cellar  
4839,And I just uh  , boy he doesnt go in and  out of the tent a hundred times  
4840,F Oh  do you , and also D you know  have it be good for you  
4841,My housekeeper was babysitting my cats and dogs  noise high pitched trill said something to the effect of now weve made the national news dont get upset and dont worry  ,Yeah  
4842,C but   F uh  F uh  the winter gets long , D you know   
4843,D well  C and  ,I didnt need it  
4844,What do you do ,However F uh   there are  there are  points both directions in that  F uh  from the standpoint of parents working and not working 
4845,I dont really  ,youd think you would be 
4846,F Oh  really , I  I  guess F uh  growing up on the farm  and  and  that  I  Ive  always  had a big interest F uh  
4847,Someone has been lying to you  ,Thats right 
4848,Uhhuh ,Im so sick and  tired of that  
4849,Yes  ,Uhhuh 
4850,C But  its a shame that F oh   ,C but  F uh  when it comes to telling kids that they have to do F uh  two or three years of service into some kind of community I dont know if thats appropriate for a government to suggest that and say D you know  you have to do two years of community service before you can be a citizen  
4851,Weve had some sort of major emergencies come up D you know  where  ,yeah  
4852, D you know  all of that  ,Laughter
4853,Laughter,Uhhuh 
4854,we have our own computer system at home  ,Uhhuh inhaling  
4855,F Oh  D so  you are a disgruntled  graduate student laughter ,they dont feel this choice  
4856,F Um  lipsmack mainly like ALL MY CHILDREN that kind of thing , C and then  F uh  hes got a router  
4857,C and then  when I first started my business F uh   ,  its   its a    its a  tremendous thing when you sit  in  a  in a  college environment and  discuss some issues and really sit there with people with disagreeing opinions  
4858,C But  I am going  to  to   F uh  hopefully next year get to go back cause F uh  a lot of the family    has not   F uh   on   her side    my mothers side    has not    seen   D you know  my daughter  ,Plus Ive got a F uh  drinking water system business that Ive had on the side for years that Ive done  
4859,  C and   F uh  C so   Ive been very guilty about  not making the effort  to  to   take things where  take things where  they belong ,D Well  thats just it though good education 
4860,Thats right ,C but  cats are good all the time 
