Question,Answer
Yeah ,Oh 
Yes ,C And then  when you get one of those tornado type 
 its  its  a gamble  ,Theyre not going to change that to meters  
C So  there was no repercussion at all  D You know  other than insurance  ,I guess it just depends on how they manage it 
 F Uh   C and    C and    D you know  some people might not believe that  ,F Um   I  
If you can control those three areas then are you going to live longer D you know  cause those are risk factors  ,C so  I cant say that
C but  I built a small deck in the back ,D You know   all those things that really could be changed  that arent  D you know   that  that   arent   
D now   I  weve  been there twice  C and   C and   both times  I just  F oh  the food just  didnt quite settle with me  ,He goes do you want to dance  
I would think it wouldnt be D you know  much more than the eighteen or  nineteen percent everyone else charges ,F Oh  thats sad 
 or an  id  individual  perhaps being single ,D Well  we really miss   Utah laughter  
 no  ,C And then  I just decided that I was just missing a lot of their time whether they were so little  
No  ,C and  
 C so   dont worry about it  ,might as well buy me a new car for that 
Uhhuh ,C and  I was absolutely rolling in the aisles  
I dont know if I can quite call myself a distinct generation from you  ,F Oh   I  laughter in my  opinion  its even than  
F Um  uhhuh  ,Yeah 
F Oh  okay ,Yeah 
C But  seeing what drugs did to him  makes me see  makes me realize  what it could do to people D you know  in the work force as well ,Yeah 
Uhhuh , Yeah  
go ahead ,C or 
C or  we go on trips   or D you know  just   ,yelling C but  he D you know  
C So  sometimes F uh  especially traveling with T I,I dont know how long thatll take  
F Oh  thats true  ,because   its  its practically   its  in their backyard too 
Uhhuh ,C and  F um  when we bought it  the   F um  it had been vacant for a while because the family will retired       
C but  ,the  ir   irrigation  because its gotten so bad the past  few years  
my  ,I think were overtaxed to the hilt 
C and  its okay  ,I know we have a piece property there  
to be enforced , annual fees or Ill just go to somewhere else 
Okay  ,F Oh  Wisconsin 
C And  they do it that way ,what I got the most exposure to  
July ,C but  F uh  it was kind of interesting because she was kind of the strict one  
he said F um   he should have let   Bush should have let  him finish his job ,Yeah  
Even the religious organizations ,Okay  
 is medium  sized ,D So    what  what    how   do you spend the time with your children 
That C and    ,F Um  D see  I have to take F uh  medication   for a  F uh  for   for  kidney transplant 
C And  she came upon  a   a  budget book that she had back in the thirties  F Uh ,Right 
C or  youre in the middle of cooking something  ,F Uh  a lot of times the foods  
Which is why people are talking about laughter  ,Yeah  
C and then   the  the   ,F Oh  wow thats great laughter 
 hackers  ,C And so  its real easy because you  just make one or two things  
Uhhuh ,I guess it just couldnt handle
Oh , societys  really going to have to get  used to it  
D you know  husband and wife owners F um  who had never done this before  ,Yeah 
Yeah ,  C and   D you know  C and    I did it    C and  I did it   for a long time  
C but  they have snakes over there , if its F uh  any large purchases F uh  youve got to kind of think about F uh  how much youre going to put down as far as F uh  payments on it so that youre not getting eighteen percent or 
interdictions  hopeless  ,Weve driven them for about probably twenty years 
Paroe   spelling Perot,C so  we put hers in  
Uhhuh ,It  
childrentalking noise  Long pause in conversation,Uhhuh 
E I mean  I suppose if you were   a  a   more a  receptionist and  meeting the public and it was the image of your company at stake ,F um  they really want a dog badly  
F you know  up north and everything do laughter  ,C and  it was like this  ho  big house   had a basement  
 you  you  get one or two at a shot D you know   ,I see 
Uhhuh , Wait  
Yeah  ,Yeah 
Uhhuh ,Thats about the extent of it 
  It  D yes     Shouldnt this end in a slash ,Be excited about all of it 
No  ,I was really tired of F uh  the Michael Bolton 
C and  Im out at Brookhaven College  ,What did you call that 
F Uh  D well  yes  ,Its real interesting this last F um  tax season  
C But  this was F uh  really large ,Right 
C And  my mom had six kids , Yeah  
 C and   D you know  some places have  ,  My  F uh  my  roommate is a F uh   
D now   you got to   you got to  have one and not mix them up ,D yeah   hopefully you have a lot to talk about in this one  
was that the man   that  that  claimed he was abused  ,C and 
they just get  so excited to be away from home,the success rate of getting it sorted properly seemed to be poor  
F Ooh  ,yeah 
  d  do  you all have  do you all still have  driveins up there  ,we F uh  F uh   
Not really ,because I like the Lincoln  
Laughter, whats  what is  that Saint Jack or something 
Laughter,Yeah 
Im not sure D you know   ,C but  F um    i   I     I  just think D you know  youre right  
C And  of course theres no hook  ,F Oh  okay  
Laughter D Well  I understand that  ,C but  D you know  those kind of things Id like to know laughter 
Yeah ,Yes  
it has to be reinforced in the home ,Yeah 
For sure ,for example D like  the COSBY SHOW to me is just kind of like a waste of my time
Okay  ,E I mean  I dont know why I even went to college  when I was seventeen 
C So  ,C and  I said D well   D you know  Im
 in case F uh  they didnt put the oil in or whatever  ,A poodle miniature or F uh  full size 
Uhhuh  ,Right 
Right  ,I cant remember  
 with  with  other things going on  it  it  seems to have lessened  , C and   we had a broad spectrum of languages and  cultures and backgrounds
Right ,C and  were all there  
C But  I think a lot of nursing homes really F uh  are guilty of neglect , C and   D you know  C and    specifically nudity things like that F uh   
F Uh  weve got a house  ,Ive just  
D Well  Im a fisher laughter , Ive  Ive  had one myself  
laughter would they  , C and  F uh  people across the street had a cellar  
And I just uh  , boy he doesnt go in and  out of the tent a hundred times  
F Oh  do you , and also D you know  have it be good for you  
My housekeeper was babysitting my cats and dogs  noise high pitched trill said something to the effect of now weve made the national news dont get upset and dont worry  ,Yeah  
C but   F uh  F uh  the winter gets long , D you know   
D well  C and  ,I didnt need it  
What do you do ,However F uh   there are  there are  points both directions in that  F uh  from the standpoint of parents working and not working 
I dont really  ,youd think you would be 
F Oh  really , I  I  guess F uh  growing up on the farm  and  and  that  I  Ive  always  had a big interest F uh  
Someone has been lying to you  ,Thats right 
Uhhuh ,Im so sick and  tired of that  
Yes  ,Uhhuh 
C But  its a shame that F oh   ,C but  F uh  when it comes to telling kids that they have to do F uh  two or three years of service into some kind of community I dont know if thats appropriate for a government to suggest that and say D you know  you have to do two years of community service before you can be a citizen  
Weve had some sort of major emergencies come up D you know  where  ,yeah  
 D you know  all of that  ,Laughter
Laughter,Uhhuh 
we have our own computer system at home  ,Uhhuh inhaling  
F Oh  D so  you are a disgruntled  graduate student laughter ,they dont feel this choice  
F Um  lipsmack mainly like ALL MY CHILDREN that kind of thing , C and then  F uh  hes got a router  
C and then  when I first started my business F uh   ,  its   its a    its a  tremendous thing when you sit  in  a  in a  college environment and  discuss some issues and really sit there with people with disagreeing opinions  
C But  I am going  to  to   F uh  hopefully next year get to go back cause F uh  a lot of the family    has not   F uh   on   her side    my mothers side    has not    seen   D you know  my daughter  ,Plus Ive got a F uh  drinking water system business that Ive had on the side for years that Ive done  
  C and   F uh  C so   Ive been very guilty about  not making the effort  to  to   take things where  take things where  they belong ,D Well  thats just it though good education 
Thats right ,C but  cats are good all the time 
I dont know when were going to have vacation to do it laughter pause  , it looks just like orchids in different colors  
What F uh   ,Sure 
F Oh  yeah , yeah   
C and  I hope  ,  He    he  refuted it  
yeah ,They did not show them care to these small children who are being left 
Its that real,D Well  I just 
Right  ,it seems like it is totally different  
D Well  I guess that was good that  you were   you were  hearing it from other students ,Yes  
D Well  Ive accepted that too laughter ,C and  F uh  
C But   ,C and  I was dead set against it breathing 
Uhhuh ,Yeah 
C so  occasionally Ill bring whatever Ive got laying around the car or the like and throw them in there  ,Uhhuh 
D You know  what Id like to see a little more  ,Yeah 
Right ,C so  thats  
 I  I  think D well  thats probably the idea  ,I always use it for something I want not something I need 
    ,Yeah 
Uhhuh ,I really enjoyed skiing   F Uh  and  a lot of outdoor activities  
 its a  its a   catalytic converter  ,I guess ties  
E I mean  I see  ,C and  I wasnt really involved in  the  the  paper training
C and  you wish so  badly that you could do them  , F Oh     Ive got the big  three sixty in there gas guzzler  
You too ,Laughter
C And     I  I   I   think  that could  thats  a formula that could be applied everywhere,Yeah 
F Oh  no ,C and  my mom has to take care of her  pretty much  
 I  F um  I  wish  E  I  I  mean  Id seen it  when  when   D you know  it was originally in the theaters  ,C and  F uh    theyve been   theyve been   under   under  the oppression that theyve been under for so  long that now they have some freedoms  
Now  it is going to grow about  F um  the plant itself will grow about   eighteen inches tall ,Theyve had D like  fortyeight murders  since the beginning of the year 
C and  so that we had just  ,they had the full   range    
 D you know    th  D you know  what   the  important thing is that they be caught and not be a danger to society , Throatclearing smaller companies have bonus plans where I think in a large company its hard to do that because therere just so many people to deal with  
I su  ,Im glad you put it that way 
I do have friends that watch programs  ,this was given to us by some friends 
right ,Im digressing here  
F Oh  really ,mines F uh  seven years old  
Uhhuh ,A lot of people just take D you know  that week  
 Wow  ,That 
C and  I cant say that theres too much of that there ,C and  I have recently F uh  sigh  gotten out of debt and everything  
C and   I  D you know  I   wouldnt mind having  , W  I  E I mean    it would  it would  have to be tough going somewhere you dont know the culture usually I guess 
 C And    C and   if they dont like the way we do it just  get off our  dont worry about it   C And  I think ,you want to establish  
Squeak, neighbor or something 
maybe one of these days Ill  ,Yeah  
I certainly havent done that in sixteen years or whatever ,E I mean   they  they  leave it up to you and your judgment   to 
yeah  ,C But  D anyway  it was really good talking to you  
They  ,F Oh        really pretty 
C and then  Id really like to get into that ,C and  its been kind of scary  
all three of my daughters are married  ,Six seven and eight 
D You know  ,Yeah  
 Right   ,D Any way   this  this  F um  school system thing  
when you have your slow readers  ,that was a lifesaver 
  you  you  miss that ,D Now  does your husband usually go with you then 
Uhhuh ,Laughter
Yeah ,Uhhuh 
its amazing how much better I feel ,carpet cleaning laughter 
on something like that they wouldnt really vote on it or anything though ,Yeah  
Clicking talking breathing F Uh  lipsmack lets see  ,with the economy going the way it is and everything that was nearly ridiculous 
not actually laughter ,C or   
We do  ,laughter  How are we going to make that happen 
D You know  Ive made D like   little Swedish meatballs  ,I think thats biggest problem  
 D you know  even though right now Im not  driving an American car  ,F Uh   C and    
Laughter, C Or   C or   something yeah 
 at least from academia  , to D you know  do the bushes and all of that sort of thing 
 I  I  guess I havent been in a situation where  its  its  been threatening  to  to  me  F Uh  ,Yeah noise 
C and  do whatever they want  ,They get F uh  just one bloom on the plant  
C and   I could   ,Okay   
I dont D you know  ,Uhhuh 
Its ,Right 
 for elderly people to live on  ,C but  I guess when you think of it everybody has some sort of aerosol in their home 
you cant  ,Identify themselves yeah 
Right ,And found that F uh  more creative avenues were the right answer for us 
  C and   F uh  lipsmack it really  ,I havent 
Yeah ,F uh  what base of communications  would you be most interested in getting in to 
C but  theyre just a real pretty boot  ,My husband says I used to complain to pay sixty dollars to get licensed in Texas  
gosh  ,C But  we never were taught  
 C And  that  C and  they  always cooked  ,D Well  F uh  every once in a while I go noise but  it  it   has to be D like  somebody that I like  
theres an afflu ,Bye 
yeah  ,Yeah 
     I cant believe Im just drawing a blank because Ive s ,if youre alone in the car 
C and  Im not ,Right 
Uhhuh ,Uhhuh 
sometimes  when  I  if you  go out there   during the day you just fry under the sun ,F Oh  really 
I dont want to vote  ,You got the term 
 C So   C and    they hope to boost the  they hope to boost the  learning of the children,C so  
Its been good talking to you , I  I   took one off my little Buick I had  
 C and    C and    F uh  D you know   we also  come winter time wed  stick them on sleds  ,F Um  they had some flooding in Houston the other day real real bad 
 C And   C and    F uh  they have different things  they will  they will  put them down on the floor  ,Yeah  
C and  we exercise ,C and  E I mean  everybody calls  us and wants to give us a credit card  
Thank you ,E I mean  D you know  if you get  them young and everything before they go kind of   nuts  
I think so ,Yes 
an I,Yes laughter  
 C and    C and   F uh  upgraded it and put things in there and dibbled and  dabbled  ,C So  F uh  Im sort of at a loss where thats concerned  
Laughter D Well  we spent last week end in Charlotte with real good friends that had just,Uhhuh 
Uhhuh ,Uhhuh 
C and  they in fact used some of the equipment that had been left over  ,Uhhuh 
F Uh  this is  a  a   question that hit pretty close to home  ,F Um  D now  at this particular time  the children were two and six  
Yeah ,C and  my older brother has paid his entire way  
 until  I can get a real salary and then get taxed more  ,How do you feel though about  
C but  F uh  to make a good living there really around here there just isnt too much ,D well  I  suppose you could  F Uh  
C But  I dont know  ,C And  these kids work really hard 
F Oh  thats tough  , what  
C and  it is a splendid newspaper , C but   C but   who knows how its supposed to all end laughter 
C and  F uh  I guess we were selling parts to the automotive industry or whatever  ,F Uh  true  
C and  he was like F oh  my God  ,and not have to go through this process 
C And  F uh  I find that very interesting  that  that  ,Laughter
In fact Id rather read sometimes than watch T V ,we did not know Italian  
Whether it would be going to  ,D Well  I know what it looks like 
Yeah ,F Uh  we have one  
I  know  ,It seems like when it gets stuck in a rain pattern thats all it does 
Youre young ,Would you not 
C so  theres never any surplus coming in to counter the deficit that were running  ,Uhhuh 
 I  I   dont feel like theyre a benefit to society in any way  ,D well  it really wasnt quite  s  as  bad as you thought  was it  was it  
D well  its very therapeutic  ,I came from a family of six 
Yeah ,Seems like sometimes hobbies do that  
thats part of it  ,Uhhuh 
I guess it depends on the person  depends on how laughter motivated you are ,D like  we dont really ski  
C And  F uh  we had a review today  ,Right now Im busy chasing my kids 
Huh ,C Because  if they turn around  they can get away  they get away  with it  
 F uh  records  of  of  F uh  known felons , What  F uh  
we have cable  , C and so   theres   F uh  theres   plenty of scholarships out there  
C And  that was the most difficult thing of all to find  the  the  right people the qualified people ,C and  thats no cartoons for my little boy   
C Or  just never said anything ,We had a house and a home  and  
Exactly   ,C But  even in Georgia thats the attitude for the most part  
C and  Id give anything to have that right now  in my  in my  regular li  , This other guy   I got this guy  from New York  
F Uh  whether youre mayor all the way up city council the works I think Certainly President that F uh  two terms is plenty ,Okay 
C And so  F uh  I bought a used Yugo , were  ruining the earth  
We take them back D you know  and use the ones that we have  ,C and  it  
F Uh  I  ,Uhhuh 
C but  F uh  ,C But  F uh  a lot of us have  parents  grandparents   
No , Throatclearing  
C But  they are still bars laughter ,Laughter   slash error
it was a Visa or MasterCard  ,Oh 
Is it on F uh  one of the lakes ,C and  its changed their perspective  
Yeah  ,One thing is I got a home computer too  
 No  , C And   C and   it was people going to vote for I think more than those who voted against 
Uhhuh ,C But  Im now in Palo Alto California which is I think the recycling capital of the world 
 words it  , really well   
Uhhuh ,C or  how do you feel about that 
I can do it on most any day of the week ,Yeah  
which is very difficult to do ,No  
Seems like,Yeah 
C so  ,D You know  I just recently moved to Massachusetts  
 in the future I think maybe to help in some ways  ,Do you have all kinds of different fish  
 of Hispanic heritage ,Huh 
   if they  if theyre   especially if  theres  theyre   on the line or any kind of sensitive job where D you know   if they can  if they made a mistake  it would cost a lot of money  or  ,Ive never been  to a golf  to a major golf  tournament 
Oh ,Uhhuh 
Laughter  We did it on a  I had a   F uh  I did it  ,Yeah 
 and that ,Have they 
thats good  , Thats F uh  exactly what  D yeah  thats the kind of thing  Im working with exactly 
 C but   F uh , What   who  are you with 
F Uh  Gene He ,I think it was D like  Utah or somebody like that  
Yeah ,so she really doesnt even know what it is to be the only one 
C or  is it Tim Hardaway  ,C and   they finding  in some cases theyre finding  its just not worth it to work because its all going out in daycare 
theres a certain degree   of honor in being able to feed your family  ,right  
Huhuh ,C and  if theyre determined to F uh  have their cigarettes and the other 
You probably dont want to take them to see  SILENCE OF THE LAMBS  ,huhuh 
Very faint Uhhuh ,if you thinking internally
C and  she interviews,C and  I think theres definite roles  
D Well  I think F uh  one thing  that well see is that we wont be educating everybody ,C but  one of my favorites
D Well  a friend of mine had F um  an eel ,Yeah  
he talks now  ,Uhhuh  
Noise Im sorry , F Oh  really  
 C And   C but    of course D now  by law they   cant   ask that , aspects   of  breathing  of  Bachs genius    C and    C and     C and    D you know  the  and   more sociological things D you know  like  the  the  idea  that  breathing F um  that   music   to be a musician was as much F um  of a family occupation as anything  
Huh ,C and  Ive got  some problems with F uh  two trees in my front yard  
 I was in Korea  ,is that what that 
theyre going to get cards at    the    ,Sniffing
 I dont  I dont  care for the smell of the litter box  ,I think twenty thirty years ago a lot of women
sure  ,C And then  I do fifty pushups  and do a hundred sit ups  
I guess in  nine   the early seventies ,Patty might   
You bet  ,I  
C and  the amount of work that were doing and the depth of things that we are studying can basically only be handled by computers because F uh  its so much laughter involved  ,Women have come a long way  
Yeah  , C And  the hours are wonderful  
D Well  we used to have F uh  Ralph Dutchen ,C and  most of the other kids were going more days throatclearing  
Yeah  ,C or  is it just coincidence it was during this period 
A couple of times weve tried some things  , I   I  know that because I was writing a paper about it 
C But  very faint ,I think that might be true 
 Throatclearing C and  last time our one twelve year old went to the scout camp for a week  ,C and  during the summer Ill do D you know  at least seventyfive miles a week 
maybe someday laughter ,All these years weve  
E I mean  some people sing  ,Do you think the U S is going to wind up keeping F uh  military bases over there 
I wouldnt have D you know   ,Uhhuh 
they seem to put out quite a bit laughter ,C And  my mom was like They should  just be all shot right now  
Uhhuh ,Oh 
you have to consider calcium and iron and , pretty much that time 
This edition is published by Bonanza Books ,C but  I dont see anybody  
that would be wonderful,Yeah 
 At  at  the same time or    slash error should be qy, C so  I want something thats going to tie that together  
C and  they say they can D you know  do something different and change some connectors  ,Yeah  
Yeah  ,Some of the people that have been  involved with Peace Corps among other things were retired teachers  
Uhhuh  ,Me either laughter 
something about the school system here ,And uh and I I think thats probably the way youve got to do it  
I know too many people who use a calculator  ,Yes  
C And  I think D you know  around here its all ready   quit playing  , C and   a couple of ladies ran a stop light  
If the doctor makes a mistake  he can be sure that hes going to be hauled into court ,Laughter
yeah ,yep 
Laughter,I hate them laughter  because theyre hard to jockey around D you know   
F Oh  great ,Right  
laughter Ive got a nice little business at home  ,C And  Ive seen where some places have  taken a plastic  and F uh  theyre recycling them into other plastics
D Well  D you know  it may be a little bit more inland  ,things like that  
A couple  , did   did  they 
C and  you can help me out a little    slash errorutt2 and 3 should be one unit,Oh sigh 
Yeah ,C And  they were all shooting state of the art Soviet weapons  
D Well  I think that covers it , Right  
C So  its been real exciting ,C But  the new idea is to take everything up to Sherman  
You know particularly for some of these really E I mean   ,F Um  
youve got  a   your   share of student loans that F uh  youre probably going to be paying off or have been  ,Its not like a normal urinalysis  
Uhhuh , Im ki  Ive kind  of D like  developed  a  a  short hatred  for  for  pop 
but its mostly from older automobiles  ,Was it  
Okay ,C and  its so F uh  
C but  now Im raising children  ,C and  you get the paper all  wet  
C and  D you know   the  the  kids will get you started on stuff like AMERICAS FUNNIEST HOME VIDEOS ,E I mean  D you know  they lay me off  
I think its a two part seat belt though  , I would  I would  suspect that they have  
 C but  it   does seem  there  that there   is a lot more here in Plano of F uh  just bored teenagers laughter ,C but  its just so enticing  
The F uh   ,C But  normally I collect F oh  D like  three  trash bags full  
 Uhhuh   ,C So  I can cut that much off the end of  
In your spare time ,Yeah 
F Uh  ,They would just turn it on  
Very faint Uhhuh ,I hate to mow the yard more than anything else  
 not working or whatever  ,C but  I still think  theres a lot of   theres a lot of  resentment 
 and  go somewhere else laughter ,Okay  
Im glad that youre in the business  , friends  are cool  parents arent 
C And  they only have one set of recycling bins one or two sets as opposed to a set at each of the dumpsters  ,as far as she knew she was going to a hospital
You do not know what you are changing when you do something like that ,because as I said  our  our  Schnauzer was old 
C and  Im still kind of draggy  ,Yeah 
yeah ,C or  talking 
 a lot of people do it really the reverse ,he went down and bought some at a 
D Well  D you know  ,  than   than  drugs so to speak 
Have you always gone until the recording ,C and  F uh  I enjoy laughing and F uh  some of the shows that F uh  are on the air  some are just purely D you know  brain drainers 
I would think that  ,Are you having to repair the walls at all 
I do that when we travel  , Yeah  
Right ,I think people are becoming more aware
Times are bad ,Wow 
 No  , was for sale  
C and   I think theyre better people ,C and  I talked with a woman who actually D you know   h  had  just purchased a gun that day
C and  F uh ,C Or  they can 
I  ,D Well  MURDER SHE WROTE comes on opposite of that  
You know  ,C And  I 
 Yes   ,Laughter
It will have something coming out of the stackhouse  it was ,C and  F uh  D you know  where our kids might be in a great school were still paying an awful lot of taxes for people who are on welfare and unemployment because they cant read  D you know  
Sniffing,C so   I  Im  all in favor of it 
C and  F uh  this next car will probably be my retirement car ,What did we do without it back then 
 For  for  Waco  ,I dont  know  really know  that much about the recycling in this area that were in  
C And  F uh  D you know   C but   C but    there are little places F um   ,Uhhuh 
Laughter D Well  my degree was in fourth through seventh grade  ,C and  if you look at the way the government is run these days it just seems like a lot of its going to waste 
Absolutely ,I was always
I dont know  ,Theres no deterrent 
Well go somewhere else  ,For some reason they put a bathroom  light switch in the hallway  
C So  there wasnt any way I was going to go  in there and vote  ,D Like  my roommates laughter laughing  at  D you know  at  me D you know   because their schoolings paid for  
C And  you do have to buy your music  ,C And   F uh  theyve got these I dont know what if youre familiar with Sarasota county at all 
Uhhuh ,in fact she told me Mom if we have a little girl and she has red hair were naming her Aerial 
Now is it Stacy ,F Oh  thats a shame  
C Because  it  ,Of course 
Yeah ,It was just pure automobiles 
This is hilarious laughter ,C  and   F uh   everyone   F uh   they  get the community building there at Lake Texoma lodge  
no  ,Uhhuh 
Rustling D Well   w  do  you think people should have a trial is theyre caught dead to rights like ,F Oh  yeah 
 D you know  stuff like that  ,C But  
D Well  see last year we had snow at Christmas time ,Isnt it strange how people are fascinated by other people that they think are strange laughter 
yeah ,breathing
C and  I enjoy classical guitar and classical piano D you know   ,C and  
the magazines I  , D you know  they really dont have much of a chance 
 and kind of had a whole conducive atmosphere to it  ,D you know  pretty much took care of that  
D Well   this has  this station has   a lot of just ongoing news  ,They suggested some sort of a recipe F uh  for F uh  lipsmack company for entertaining  
 C and  see weve yet to keep anyone up  over  ,yes  
C and  we went to the movies that past weekend ,she could go in sometime  when   if   Im watching her  
Do they have a Mastercard or VISA card ,Uhhuh 
Hey Steve  ,Laughter  C But   
or do they both get served  ,Tarpley 
it seems funny you how within the last  couple of years cars have gotten bigger again D you know  ,Is it 
byebye  ,D well  E I mean  you childtalking  could tell  just by  just by  how much money you have left over  
 in  some areas  D you know  depends on how far they are commuting ,Im really thinking that this guy might be good for us 
they have to kind  of take a stand on some things like  abortion and things like that  ,Then this will probably  
D Well  yeah  ,C so  
C But  anyway it was F uh   the  ,Ive been to San Francisco 
 F uh   youre  youre  jeopardizing the future of the country F uh  for today  , I can  I can  buy some F uh  today if I wanted to  
Yes  ,Laughter
C and  I dont think Ill ever see  a  a  silver badge ,No 
N  ,Laughter  Yeah 
 E I mean  its hard  for   for   someone like me to understand that  ,I do think we should deal more with them  
Well probably have to look for another second car sometime  ,She said You should have done pansies  
D Well  C and  some people use one credit card  to pay for another credit card they own ,No  
Thats great , and D you know  how far away something is  
F Ooh   I love tennis too  ,C but  its for the better  
D Well  this machine does it all in one step ,C but  
D well  breathing theres  a lot of them F um   ,E I mean   it was  what I liked about it was  that it was a new subject  
I understand when  they pulled the troops out of  F uh  E or  they reduced the number of troops in   Europe after the Berlin Wall went down  ,give me  my paycheck so I can go home 
C And  just the fact that I can go straight from my desk over to  the  the  recreation center and do it helps a lot ,D You know 
D So  you went to what college ,F Oh  really 
D So  ,I think thats unbelievable 
We were in Mesa Verde Park  ,I do not like the humid laughter 
you do ,A I dont know   all that  all that  stuff 
C and  it would be like  two dollars ,Over many many years 
D You know  and being,F Uh  I dont cook a lot D actually   
Uhhuh , really look and pay for it 
You cant ,F Oh  yeah 
 right ,C and  D you know  thats one of the things that I think Saint Louis has done F um   
Laughter,It is  
C and  it can do a lot of things  ,  we  I    I   grew up with D you know   
guns and  ,Uhhuh 
Uhhuh ,C But  its just D you know  leak leak leak everywhere  
laughter thats nice sometimes when   they  ,D You know  its like 
Exactly ,Laughter
F Oh  really ,C so    Did you have carpets and stuff 
D Well  they are not allowed to water  , if our gra  if our grandchildren  are with us  thats  they  have to watch that  
 E I mean    ,D Well   you  where youre  located  I   I  do know Texas Instruments has random drug testing 
 Hope its a good program  there ,Yeah 
D You know  ,I dont want to sit in the kitchen and  be putting an olive on something laughter 
 bit his tongue out and  spit it off in the omelet  ,they F um  F um   
F Oh  my goodness ,C And  maybe thats going to happen to America where theyll say hey  
C and   its    it   it    the house  is  forty years old  ,I timed it when I first got it  
the war has certainly  sort of set things on end over there  , I think so too  
Yeah ,The way it works  
C and  I like F uh  gymnastics,F Uh        It is very interesting F uh  subject  
D Boy  we really got  to know the kids well ,D well  my children are grown  
D You know   I read one about Bob Hope that I liked ,My grandmother died a couple of years ago mispronounced  
Okay , I  I  know that was supposed to be in May  
D Well  no  ,then I would let her narrow it down to three or four  
Uhhuh  ,We all went to high school together  
Even though its very expensive to stay at home , Great  
Right ,yeah  
Uhhuh ,How do you usually find  a  a   new restaurant 
my rule is that they cant play a sport the same time of the year breathing, I  I  think the Republicans have taxed us just as much as the Democrats  
It would definitely be gun control laughter ,D You know  its not like we breathing   threw eight aircraft over there all by ourselves and said this is wrong 
Y  ,F Uh 
Laughter,when they put centers and stuff like that 
 C and  Ive really been faithful these past two months of going to the health club and working out  ,C and   thats a  thats usually a  big chunk of her bonus check D actually  
D Well   Ive enjoyed speaking with you ,C and so  sometimes we would have a reunion with that group 
C And  I thought it was a good sacrifice to make,F Oh  I know  
Youre right ,E I mean   it was nice having access to the
C and  I think the governments are working on that to try to have some F uh  businesses F uh  at the borders of both sides so that  you can   you  dont have this problem of them trying to come up here  an    to  to  get the jobs D you know   ,Yeah 
Not at all  ,Do you have 
we suspect that he   was hurt in an accident   D you know  got away from somebody traveling through and hurt in an accident  ,the next one was when I graduated from college  
F Oh  thats interesting  ,C and  I put paper all over the floor  
C So   E I mean   they  they  didnt have any power  ,when I have the choice  
C but  when I graduated I havent done much  ,Go 
C but   breathing my boss wouldnt pay for it ,F oh  the T V golfers they do that  
 they dont have the clothes to wear , C and   they were nearly  all  all  diesel  
Its sold in uh in uh the Far Eastern coun uh Far East countries more than here ,youre not old laughter 
people have  the   generally the  same view,Right  
 thats  thats  true  ,C So   F uh  I learned to repair one  
I have  ten  F uh  nine   grandchildren in various parts of the country ,I was deciding between that and F uh  MY GIRL  
 C and    C and    D really  E I  mean  North Americans I think  are   when you say that even  I thi   E I mean  I tend to think of Americans and Canadians  ,D Well  
D Well  she wanted me to just wait and let her dump them off tomorrow ,C and  they pay one hundred percent 
uhhuh ,C or  
C And  do you know  how much   how long  this is supposed to go on ,Uhhuh 
C but the little boy was five years old and was intelligent enough to  ,C so  
C But  F uh  D you know   I  I  think of my family  ,F Uh  yeah 
C So  ,Uhhuh 
Laughter yeah  ,Youre a true liberal hearttoheart  
I got a hold of F uh  Richard Simmons tape F uh   ,Because if they ever come up with a reasonable working agent in place of fluorocarbons then uh 
Canada , I had an 
they really were all there  ,Yeah  
D boy  I had thirtythree hundred dollars damage done on my car  , and  religion and all that 
the one they brought in the new superintendent for Dallas schools the admini F um   , I don  I dont  know if I get E S P N or not laughter 
Uhhuh ,C so  if you ever go in a  restaurant order crawfish  
do it early  ,I ski yes  
I dont know  ,F Oh  thats where we go home too 
Yeah  ,F Huh   D Well  
E I mean  if you look at  the  the  high unemployment rate right now  ,he was kind of   pushy too   
Yeah ,F Oh  yes  
Childcrying,I admire 
C So   he  hes  pretty good about taking to commands  and  ,I think that F uh  makes the problem most severe and makes him  look  look  worse that  what his  F um  what his  ideals are
F Uh  to a degree  ,Yeah 
 you dumped everything  in together  ,F Uh   some yeah  
Oh ,C And then  at that point
C and   that   aw that  was just really sad  ,like in the Fall  
You say youre from Atlanta ,C and  
No laughter ,The last scary thing I saw was MISERY 
C but  she has been writing for adults also ,looking through them  
The ones that would kind of constitute controlled substances or  something   anyway    ,It is  
Uhhuh ,F Oh  okay 
Very faint uhhuh ,C and   F uh  F uh  F oh  gosh F uh  Im just laughter  trying to think of all the movies Ive recently seen  F Uh   
you know its funny  ,We did an air show   out at  F uh  out at   F uh  Boone Greene   E no  out at F uh  
C or  , Its true   
Oh ,C Because  D actually   when you  when you   do F uh  service overseas you end up learning something usually  thats  thats   really useful plumbing or  farming  or  or  something like that  
C and  its just not going to happen  ,C And  F uh  D you know  I think if they had programs that set up to subsidize people that do get laid off a little bit better D you know  other than  s  D you know  something  like  
 C and   C and   how do you rate  the  F uh   ,C and  
Im surprised that more states doesnt do that ,C And  thats certainly one of the reasons that Im sure that theyve begun the F uh  CODA Plan 
 that is very   laughter its very   strange  ,Okay 
No  ,trying to keep this shape that way  
just take like in Chicago where the people depend on the public transportation system to get them everywhere ,I didnt realize that 
I know thats how I am about Xanadu ,I live in a dorm  
I ,Yes 
 real fast  ,no  
Right ,C So  what i 
