Question,Answer
just be consistent and diligent --,-- <Sniffing> {C but } they don't have any problem walking right by you if you're asleep. /
"-- [ it may, + it may ] help their tip,  may not, {F huh. } /","{C So, } ] {F um, } [ I, + I ] was thinking about a couple things, {F uh } --"
"And then, {F uh, } paper. /","{F Oh, } Houston's,  /"
"Yeah,  /","It, at times, gets incredibly hot here. /"
"{D see } [ the, + the ] thing is, {D like } here [ they just, + they just ] give you {D like } local news, okay. /",Uh-huh. /
no.  /,"{C but, }  {F uh, } this dog, Dennis jumped in and got this look on his face like  what do I do now,  as he's floating down the river then finally discovered  that he could swim and, {F uh, } actually paddled up against the current  and, {F uh, } made it back to the shore and  climbed up  /"
"{D Well, } let's see.  /",{C but } that at some point something's going to happen.  /
Yes. /,"{C And }  my cousins and I go, {D well } why couldn't you <laughter>. /"
"I'm all for doing everything, - /",Yeah. /
Where have you been on a wonderful vacation? /,"That's not an easy part to play, [ I, + I ] don't think <<very faintly>>. /"
# ((Yes)). #  /,"{C and } I think she even gives mom and dad a little bit, {D you know, } of rent money. /"
"no,  /","And if they find a bottle or a can or anything like that in your trash,"
"-- {C but } then we never had any really emergencies that, {F uh, } -/",Uh-huh. /
it's beyond a reasonable doubt.  /,"{C or } # what is it that will, {F uh, } -/"
it's not on that. /,"{D well, } yeah  /"
"Probably find someone, - /","[ That's, + {F um, } that's ] been like that since [ they, + ]   the first newspaper, {D you know } <laughter>. /"
"{C And } in the car, - /",[ {C and } + --
[ [ I -- +,Uh-huh. /
"-- and, {F uh, } as a nurse  /",Uh-huh. /
"[ {D So, } + {D so } ] {E I mean, }  it's like [ this, + this ] town probably has   {D like } two hundred and fifty thousand people  /",Okay. /
"{C But } [ a maj-, + a lot ]  of them don't do these things even,  /",it shouldn't go out that much. /
people get up in the morning in that neighborhood  /,"{F Uh, } <swallowing> [ it's, + the house is ] eighty years old  /"
<Laughter>.,"[ {C and, } + {C and } ] they had to bite the bullet for that.  /"
Okay. /,"{C and } I've never really looked at one very closely,  /"
<<faint>>.,"[ I, + I  ] just don't [ have anything, + want anything ] to do with her any more,  /"
Yeah.  /,{D Now } do at a - /
Uh-huh.  /,Yeah. /
{F Huh. } /,we have <breathing> a daughter who's almost thirteen  /
"{C So } <lipsmack>,",{F Oh } do you really. /
"I, {F um, } - /","{F Oh, } yeah,  /"
"{F Uh, }",{C so. }  No.  /
Uh-huh. /,{C and } --
"I live in the Florida  in the winter and then go back up north [ in the, + in the ] summertime -- /","{F Oh, } do they? /"
Uh-huh. /,"# {D Well, } don't give # too much credit to the American public for their motivational # ability # . /"
"{C And, } {D you know, } it's sort of a popular view of, {F um, } what happened way back then. /",Is that right? /
{C but } --,"[ Is that, + is child ] care or that type of idea completely foreign to them? /"
"um, did you do through a public school system or private? /",one of these days my grandkids probably. -/
"{C So, } -/","{C And } I,"
# Uh-huh. # /,"{C And } [ they're, + they're ] good about it.  /"
"you [ probably +  get [ this, + ]  probably ] pretty sticky after you get done. /","That's right,  /"
do you have children? /,Huh-uh. /
"{F Oh, } yeah,  /","No,  /"
<Laughter>.,"They, - /"
uh-huh. # /,"Yeah,  /"
Okay.  /,"{C and } the woman stayed home and took care of them,  /"
"# They won, #","-- {D you know, }  /"
# Uh-huh. # /,I like to know where it's going to. /
Yeah. /,"-- not the girls,  ((   ))  the boys. /"
Uh-huh. /,"yeah,  /"
"Yeah,  /","I hadn't thought about that, {F uh. } /"
"I, {F uh, } -/",Oh. /
Exactly  /,{C so } --
"(( We beat ))  Buffalo [ in, + in, ] {F uh, } was it third of December?  /","{C and } she did that all the way around the room which makes it look very attractive, /"
"{C and } things are so tight,  /","{F Um, } {F um, } {F um, } {F uh, } {D actually } it sounds [ very, + {E I mean, } very ] similar.  /"
"What else, did you, - /","no,  /"
"[ [ I, + I, ] + I ] think that certainly is a problem.  /",I don't know.  /
"{C But, } no,  /",{C because }  I'm from New Orleans originally. /
My children are all grown up. /,Okay. /
"-- and, ] {F uh, } so forth,  /","{C But } it would still probably be cheaper <sigh>,"
Yeah. /,{D So } I'm pretty bad  /
"Yeah,  /","Yeah,  /"
"# I enjoy, # -/",do you see that the principals aren't really in charge? /
do you have any air pollution in your area? /,"It keeps me pretty busy,  /"
"{C But } [ [ he, + {F uh, } he ] talks about, ] + {F uh, } he talks about ] a lot of different topics  /",-- separate living area.  /
"# we live in, # -/",right. /
Sure. /,"their, + on its ] per diem for exchange rate. /"
"One, you need to make it illegal for both parents to work while the kids are under seven.  /","yeah,  /"
"for me,  /","{D Well, } {D you know, } {F uh, } I talked to  this girl  /"
"He didn't see his,",{C and } it's really true.  /
"I grew up in Nebraska and, {F uh, } grew up [ fish, + ] cat fishing in the Little Blue River  /","{D So, } it's, {F um, } -/"
"I wonder, have you ever been to [ a, + {F uh, } a ] small town, {F uh, } - /","{C and } this gets back to capital punishment,  /"
"people like us, {D you know } <laughter>. -/","-- on baseball ] tea-, - /"
and they need some assistance down there  /,"{C and, } {D you know, }  we would have like to have had all brick,  /"
"{C and then } I get fat,  /","Yeah,  /"
"[ You, + you  ] have Fords and [ [ I, + I,  ] + {F uh, } I  ] have three Chevys, [ which + ] -- /",Uh-huh. /
I could go on and on about that. /,{C and } I was disappointed when I went to Texas.  /
"He said, {D you know } the plot line and the characters, {F uh, } {D you know } aren't real big  /","Yeah,  /"
{F Uh } -- /,{C And then } she got sick on me again  /
"-- {C but } [ we, + we ] [ got, + ]  found a retirement center for her,  /","{C and } now they're feeding them, {F um, } quiche and all kinds of strange food that we would eat. /"
I got to counting the other day  /,{C although } I saw a survey recently  /
-- perhaps  /,"all those factors played a part in,  {D you know, } {F uh, } the, -/"
"Somewhat, yeah,  /",Right. /
I like that idea.  /,"-- {C and } she visited the place, and then fell in love with it, and decided to just shun all responsibilities of any kind,"
"{F Oh, } that's a talent. / *[[ Indep. slash unit ]]","{F Oh, } I'm not surprised. /"
"-- although [ during, +  during ]  the Presidential debates, there was some really nasty patronizing,","{C so. } [ I c-, +  I can ] relate to it,   I suppose <laughter>.  /"
"I said, {D now } you do like cats, right.  /",-- been looking around and thinking about things.  /
"<noise> they have weapons to kill us over and  over and over,  /",# Uh-huh.  # /
And she still goes through your clothes? /,I do.  /
Right. /,"-- [ {C and, } + {C and ] } they just don't understand that you still have to be able to make the payments. /"
-- Inwood area -- /,"# Yeah,  /"
"{D Well, } {D you know, } if they're forced to do it <noise> it becomes sort of a habit. /",Yeah.  /
They got him from the Mets for Hubie Brooks. /,"o-, - /"
"I think, gets in there  /","{D Well, } what movies are you looking forward to seeing now? /"
"{D You know, } [ I, + I ]  really don't like that stuff  /",Do you have children? /
"That's the thing,  /",Yeah.  /
{C but } it's not the most important issue. /,"{C and } that, {F uh, }  rather bothers me that, {F uh, } I was [ in, +  in ] effect, {F uh, } contributing to the delinquency of  [ the, + the ] environment, so to speak. /"
"you can go back and, {F uh, } correct <laughter> it very easily -- /",Uh-huh. /
{C So } I'm looking forward to seeing that --,"{F Oh, } uh-huh. /"
Not really <laughter>.  /,Yeah. /
-- {C and } [ it's + it's ] a very good point. /,Uh-huh. /
"{C So, }  I predominantly wear flat shoes.  /",<Breathing> I know.  /
"[  Do you, + do you ] cook for a hobby  /",they're pretty young. /
Uh-huh. /,"[ {C and, } + {C so }  ] [ I was, + I was  ] a real good piano player,  /"
{C but } my dad's the type he wouldn't want to spend the money on anything. /,"And that he was <laughter>  trying to decide between  University of Pennsylvania and Williams,  /"
"{F Oh, } okay. /",All right.  /
"{C because }  [ s-, + San ] Antonio isn't that close to you, are they? /",[ [ {C Yet } --
"Okay,  /","Yeah,  /"
Yeah.  /,No  /
-- watch. /,"{C or, } -/"
Capital punishment. /,"{D Well, } I could certainly, personally stand seeing them go to [ a, + a ] standardized compensatory time --"
"-- {C but, } {F um. }  Do you think you pay too much there,  /",Uh-huh. /
"I just, -/","{C and, } {F um, }"
"I guess in terms of [ the, + ] {F uh, } {D you know, } [ ha-, + having ]  a judge do it would seem to me to be [ more, + more ] fair [ and + --",{C and } people have told me.  /
No.  /,"{C But } then you use this sort of, {F uh, } - /"
Uh-huh.  /,"# Is it, # -/"
Really? /,"I think, -/"
"yeah,  /",-- take the first amendment out of context.
"{C and, } {D you know, } working out six hours a day, usually six or seven days a week that kind of,",it probably does.  /
"Are you just saying [ you, + you ] sight read every concert? /","to answer your question,  [ I think, + {F uh } --"
You're in # Maryland. # /,"{C and, }  I put them in a big bag anyway -- /"
"Yeah,  /","{C So. } I don't know. [ I, + I ] guess we're kind of in the same boat.  /"
It was like we can't take it back  /,They call it senior citizen day care.  /
"[ na-, + native ] Vietnamese people. /","-- get them fed, get them to practices --"
"{D so, } <laughter>, that's why I do that. /",# right. /
"I like to bake, {F uh, } also,  /","{C But, } {F uh, } it's, - /"
"{F Uh, } I've done business programming, [ scien-, + {D you know, } scientific ] applications like, {D you know, } petroleum science stuff and,","{D You know, } they couldn't even take handoffs.  /"
"{C And } they then, - /",other than my children have gotten. - /
"[ {C and, } +  {C and, } ]  {F uh, } -/","{D See, } I look at it this way.    If the company folds, I got to go find a job. /"
<laughter> {C So. } -/,"{C so. }  I wh-, -/"
I would travel everywhere  /,"{C So, } {D you know, } - /"
Uh-huh. /,"Yeah,  /"
"{C and } she kind of heads that up for these kids,  /",Uh-huh. /
"{D Well, } what if it breaks?  /","yeah,  /"
Huh. /,"{D Well, } [ that, + that ] makes sense, it really does.  /"
"{D you know, } [ the, + the ] economic, - /",<Child_talking> <talking> <baby_crying>.
"exactly,  /",<Cough>.
"{C and, }  {F uh, } my, {F um, } - /",Excuse me. /
"Yeah,  /",They seem to be having a real good response. /
Clarion. /,Yeah. /
"it's just a great,","(( God )) , I'm envious <laughter>. /"
"I guess, I'm kind of frustrated that, {D you know, } we've gotten away  from the Christian basis that our court system was founded upon.  /","[ I, + it's ] not our, {F uh, } role to make everybody like us. /"
"{F Oh } yeah,  /","[ {C And, } + {C and, } ] {F uh, } [ we had, + (( )) my husband had ] a conference in L A,  /"
"[ {C And } I think, + {F uh, } {C but } I think ] also, sometimes it can be, {F uh, } a benefit if it's for a short time.  /","Right,  /"
"# where we # could come down and where we didn't want to come down, /",There's just so many people and so many accidents every single day that it'd take a whole another police force just to answer the traffic. /
"Probably,  /",I think they would have to agree to go in it. /
Yeah. /,They're two and one. /
-- to reserve that. /,"{C and } I said, {D well, } {D you know, } [ I don't know, +  I don't know ] how the gas  is on most of these.  /"
"Yeah,  /","[ {C and, } + {C and } ] they're really good. /"
"{D See, } {C and } I don't understand liquid  ounces and fluid ounces.  /","{D You know } to have the, {D you know, } - /"
"{C And } you, {F uh, } put about two tablespoons  of, {F uh, } water into this bowl, and  about an eighth a teaspoon of salt. /",yeah. /
"I don't think many people really think about it, because it's nothing they, - /",Yeah. /
"Wh-, - /","{C but, } {D like } if you're going to do business in another country, you've got to respect their rules. /"
"{F Oh, } yes,  /",<Laughter>.
"Same here,  /",Really. /
"{C but, } {F uh, } we had a parakeet.","I do too, especially as women get up in management  [ and, + and ] can be in on those decision making, - /"
"<Laughter>  Sometimes it's hard isn't it to keep a, -/","yeah,  /"
Uh-huh. /,"right,  /"
"-- {C and } we have so many people in the United States that we spend, - /",That's right. /
{C And } I thought that was well done. /,"you know that, /"
"to Camp Goddard, {F um, } which is through the Plano school system, # {D you know } in the fall # --",[ {C and } -- +
"<Talking> {F Um, } {F uh, } human factors. /",Yeah. /
# Yeah. # /,"Grab,  /"
"-- Abraham Lincoln.  {D You know, } teaching himself to read.  /","{F Uh, } which I like.  /"
{C so } --,I haven't. /
yes. /,"{F Oh, } yeah. /"
"-- {F uh,} - /",it's less expensive. /
"Yeah,  /",No.  /
"{C And so, } -/","I think tickets are, -/"
"Yeah,  /","{C or, } -/"
"{F Oh, } okay.  /",Yeah. /
Yeah  /,is that  how they do it at T I maybe.  /
I have twenty-five minutes for lunch. /,"We normally, {D yeah, } - /"
Yeah.  /,"eventually [ the, + ] [ you will, + you will ]  be doing lots of stuff.  /"
"{D Well, } {D you know. } -/",and wanted him.  /
"It's coming up, isn't it. /",Yeah. /
Uh-huh. /,"{D like } I'd come home from second shift and watch him {D like } for an hour and a half,  /"
"{D So } that's how, {D you know, } my decision was made.  /","{F Uh, } no,  /"
-- as well. /,"{C but, } {F uh, } [ [ [ I, + I, ] + {D well, } I, ] + I ] accepted Christ as my Lord and Savior,  /"
Yeah.  /,"Exact-,  /"
How do you go about getting one of those a catalogs? /,{C but } the rest of them are just parts <noise>. /
"Yeah,  /","I will admit I work with, {F uh, } someone who's Iranian,  /"
Right. /,Yes. /
"{C So } you know what it's like,  /","{C and } we bought lots of equipment from her, supplies  /"
"yeah,  /",Yeah. /
-- {C and } TEXASVILLE is just like that.  /,{C so } who do you work for? /
Yeah. /,"{C but } some of the internal news and the news services, - /"
"{C And } I also think that in the future that, {F uh, } it's going to continue.  /","-- {C and, } ] + {C and, } ] {F uh, } [ I'm, + I'm ] really gung ho for it.  /"
# {F Oh } my gosh. # /,And they want to do the research #  /
"{C But, } {F uh, } {D you know, } we're going to drive up to Kansas City, see my wife's folks,  /","Yeah, /"
When you did your papering did you start in the middle of the wall? /,"{D Well, } {C so } oddly enough, I do too,  /"
{F Um. } /,"{C and } I'll take care of your lawn, he says,  /"
Yeah. /,"I'm trying to, - /"
That much stuff. /,"{F Uh, } that's sort of the Old Testament version. /"
A lot of the older family lives in Vernon. /,{C And } they last a long time.  /
"they could [ p-, + probably ] do it again. /",Yeah. /
"-- {C but, } {F uh, } [ [ I, + {D you know, } I, ] + I ]  really enjoy listening to his music. /","# {C But, }  # {F uh, } I don't know.  It's just, -/"
"{C and } I have a couple of pantsuits because those are real in at this time,  /","[  I, + I ] glanced at the clock when, {F um, } we started  /"
right. /,Really?  /
"[ {C And then } + <throat_clearing>, {F uh, } {C and then, } ] of course, to make up for that, {F uh, } the, {F uh, } parents would have to work in their later years longer, {D you know, }  /","that's my  thing, <breathing>  /"
"The, {F uh, } - /",Uh-huh.  /
talk with you later. /,there is a lot more women in the work place nowadays. /
{C and } she couldn't stand it any more.  /,"{D Well } I had heard that one of the comments # [ when they, + when they ] brought it, # -/"
"Course, it was designed for most of us to go about forty-five miles an hour because the short on ramps and [ are, + ] off ramps,  /","{D You know, }  we're all honest, and everything like,"
{C And } did you install all that yourself? /,-- teach at the university  /
Nursing homes. /,Right. /
"{C and } I, {D you know, } helped them get there as far as --",-- Canada ] to Banff or somewhere like that <laughter>. /
"{C and then } we had  [ this whole can, + ] {F uh, } a bag filled full of cans -- /","{F Oh } I, -/"
let's start up a Target.  /,"[ [ I, +  I, ] +  I ] think, - /"
{C so } --,{C And } you could get there  /
Give me the money  /,-- when they vote  /
"{C and } indeed the present overcrowding  conditions, {F uh, } prevail. /","[ {C but, }  + {F uh, } {C but } ]  then again, who, {D you know, } - /"
"No,  /",Uh-huh. /
"{D see, } {D now, } my parents, there is no way they could afford to send twelve kids to college. /",Okay. /
"{F Uh, } one of its great slogans  is if you're not serving the customer, you better be serving someone who is. /","I'm not a James Caan fan,  /"
"No,  /",# {F Uh. }  # /
{C And } one of them I don't really consider camping. /,"No,  /"
"# Yeah,  /","somebody, - /"
you better believe it.  /,{C and } --
{C and } you could  shop until {D like } twelve or one o'clock that night  /,"{F Uh, } course, they find that the  choice creates its own hardships in a way because life is not quite as simple even if  it is for your, {D you know, }  /"
"# Uh-huh,  /",-- {C and } other major countries are higher.  /
"{C and } I won't give [ the, + the ] whole plot away  /","It was all cotton fields,  /"
Right <laughter>. /,"{C and, } -/"
{C But } I also don't remember lots of little pieces #  /,yeah.  /
"{C But, } {F uh, } have you ever been to California? /",{C so } they're going to put it in the video. /
"Is that what [ you're, + you're ] thinking the subject is about? /",<Talking>.
You too. /,"{C so, } you have a pension  /"
Uh-huh.  /,"{C and, } {F uh, } what did you do about your last auto repair,  /"
"[ [ it, + it ] makes   the, + {F uh, } it makes, {F uh, } a ] whip topping out of milk if you get the milk cold enough.  /",Yeah.  /
{D Now },Yeah. /
"I know,  /","{C And, } {D you know, } for the things he's done,  /"
{C and } its  ((   )) . -/,"{C And } it was a two bedroom,  /"
Right. /,"{F Uh, } I guess our minds are so,  {F uh, } {F uh, } {A what is it? }  {F Uh, } finite -- /"
"{C And, } {D you know, } [ they can get a, + they can ]  grasp the points.  /","{C and, } {F uh, } it was practically new when I moved in here  /"
"Okay,  /",Is that right? /
Right. /,"[  I, + {F uh, } I ] started knitting awhile ago,  /"
"[ [  I, + I, ] + I, ] - /",-- why not. /
Uh-huh. /,anything can go on in California. /
-- speaking. /,{C and so } she brings them up  here from Philadelphia and gives me all her extras. /
"-- {C and, } {F uh, } [ I, + I, ] am close to receiving my English degree, {F uh, } [ as, + as, ] well as [ my, + my, ] graduate degree,  /","{D Well, }  that's a real good idea. /"
{C And } most of the time we decided we wanted to stay in a hotel. /,"When I was working, I, {F uh, } bought a bond  a month out of my, {D you know, } - /"
"I read, {F uh, } one book a friend recommended to me.  /","I think he's dead now, <laughter>  /"
That. - /,"-- {C and, } {F uh, } I just,  {D you know, } - /"
"{C And, }  {F um, } we usually get a fog.  {F Uh, } right [ about, + {D I guess, } about ] four o'clock  /","Yes,  /"
Bye-bye. /,Right. /
"{F Oh, } {D my, } it sounds like, {F um, } San Juan, Puerto Rico,  /","about six hundred and eighty-seven and  below will not be covered [ by, +  by, ]  {F uh, } subsidized health care,  /"
"{F Oh, } I know it.  /","what happened was that [ some of [ the, + the ] wa-, + a lot of water ] settled on the top  /"
"{F Uh, } also I think, we have a lot of, {F uh, } Hispanics -- /",Uh-huh.  /
Uh-huh.  /,"[ {C and, } + {C and, } ]  I know, when I went to college,  [ I, + I ] went to summer school, /"
Uh-huh. /,<breathing>.
"{D gee whiz, } you go to bed when it gets dark, /","{C But } I think, {F um, } - /"
What the controls are. /,"{C and so } [ his benefits, + his medical benefits ] are so  excellent, {D you know, }  /"
"did you hap-, -- -/",{D see } ours just goes in the regular trash. /
"{F Oh, } I do too,  /",I've always watched it. /
"[ {C so, } +  {F uh, }   *[[slash problem]]",Do you call in  /
She's got a very nice temperament.   /,# Yeah. # /
"I agree with you on, -/","That's okay,  /"
"Uh-huh,  /","{D you know, } just all around these vacant buildings,  (( just ))  a lot of vacant buildings,  /"
"Yeah,  /","Few are, {F uh, } basically staying home and being homemakers, and raising kids exclusively. /"
"Uh-huh,  /",I hadn't really thought about it  /
I think that's regressive  /,"{C but, } -/"
Uh-huh. /,uh-huh. /
"{F Oh } yeah,  /",Yeah.  /
# what have you. # /,{D Now } that one I'm not familiar with. /
"{C and so, } the best bet, [ [ any, + anymo-, ] + these days ] are compact disk,  /","{C but, } [ [ you, + you ] can tell, + you can tell ] the differences in the days, [ when it's, + when ] the haze is kind of yellowish gray instead of just being [ a, + a ] foggy, misty # color # -- /"
Yeah.  /,<Laughter>.
"I guess, {F uh, } I can start.  /",I'll have to tell my son about that.  /
"<Throat_clearing> Not so much because, {F uh, }  it's bad per se, although there is some pretty crappy programming  /","{C and, } {F um, } [ he, + his ]  vacation is really nice.  /"
"{C And } [ let's, + {D you know, } let's ] get rid of some of this harassment suing. /","<noise> {C and } I [ went, + got ] to walk in the gas chamber -- /"
"There are so many games [ in, +  in ] a year that they've got to have repeat customers. /","it seems like, {F uh, } older people have much better, {F uh, } - /"
"{D Well } everyone makes its own model,  /","{C But } [ [ [ we like good s-, + {F uh, } w-, ] + we're, ] + we like ] Mexican food. /"
that's the next project that I'd like to learn to do.  /,"aunt and uncle, - /"
"{D Well, } {D you know, } they've been talking about - /",<Throat_clearing> Uh-huh. /
"{F um, } yeah,  /","{D So } [ you're f-, + you have ] a big, - /"
"[ I, + I ] love it,  /","I was,  /"
# Yeah.  /,"Everything happened during the sixties,  /"
"-- # {C but, } {F uh, } # [ I, + I ] fully agree with it  /","Yeah,  /"
"[ they eat, +  {F uh, } they eat ] greens. /","Yeah,  /"
"{F Oh, } yeah. /",Uh-huh. /
"it would almost have to be, I suppose.  /",uh-huh. /
was it your grand mother --,{C but } I didn't know where to take them. /
"{C and } I think it was {D like } on one of  [ the, +  the ] documentary T V shows where they ask for [ the, +  the ] verdict by the jury -- /",-- commit your child to them.  /
"{D You know } they really need surveyors cause [ you could, + you're ] free to travel anywhere.  /",{D hey } thanks so much. /
Okay <laughter>.  /,"if there was a problem [ they, + they ] would I think be more ready to tell you what it was. /"
"{D Well, } [ {C but } the -- +","Yeah,  /"
Oh. /,"{C and } you don't have to miss, he'll say, na, na, na.  /"
"Right,  /",I think that would be the ideal situation.  /
"I did have a sixty-four Ford truck that I wish I still had and loved to get inside that and tinker around with it and work with it,","that I think they would do anything, /"
Yeah. /,inches or something.
"During perch season as well, you pull up a lot of, {F uh, } - / *[[slash error]]","{C And, } they both loved the movie, right? /"
<Laughter>.,"# Yeah,  /"
I forgot  /,Right. /
just that one time. /,It can only hurt the deficit picture. /
Plano.  /,"to some parts of Dallas you just can dig a foot down and you hit solid limestone, {D you know } -- /"
Okay Karen.  /,-- {C but } that is unusual. /
Uh-huh. /,Uh-huh. /
I'm just kind of surprised we did that.  /,Right. /
"{D well, } [ I'll have to put that, + I'll have to keep that ] on my list then. /",I don't mind that.  /
"for some reason, because of the cold, {F uh, } ocean, {F uh, } water, the air is always cool.  /","I agree,  /"
A tent? /,"{C but, }  {F uh, }"
"{F Uh, } [ dictator, + dictatorships ] are real efficient. /","{C but } I just feel like [ we're, + ] [ every, + every ]  gallon of paint adds a tremendous amount of value to the house.  /"
"I think our next car will be a, you know, some big old four door, uh, something that can haul the kids to baseball practice --",I subscribed to TIME and U S NEWS AND WORLD REPORT.  /
"We have cathedral ceilings in, {F uh, } two rooms. In the, {F uh, } family room and in the master bedroom  /","{F Uh, } you're too informed.  /"
{C And } it's turned out to be sort of a horrible problem.  /,that's interesting.  /
Uh-huh. /,"{F Oh, } two they're going to change.  /"
jumbo. /,Uh-huh. /
"-- that, [ they, +  they ]  don't want to be with anybody else. /","sometimes it's not,  /"
they did some tracers  /,{C so } --
Right.   /,Yes. /
<Laughter>.,"[ I, +  I ] don't like really camping in the rough.  /"
"Yeah,  /","It makes the biggest difference,"
So that the teach ... -/,"{D Well, } we, {F uh, } - /"
"[ I just, + I just ] don't, {F uh, } -/","{C And, } {F um, } {D anyway, } -/"
"No,  /",Uh-huh. /
"Yeah,  /",Uh-huh. /
Okay.  /,# <laughter>. #
Yeah  /,Well - /
# Uh-huh. # /,"We were about the only,"
{C and } it only costs a dollar  as long as they go to that doctor. /,"{F Um, } we're a financial planning firm. /"
"{C and, } {F uh, } it was part,  {D you know, } - /","{D you know, } there is some definite, {F uh, } creative play, good social interaction, that kind of thing. /"
"{E I mean, } just like every other time that you look at  it, the Honda Accords  and the Civics are right up there.   /","# V # eight that they put in [ the, + the ] three quarter [ and, +  and ] half ton van.  /"
Gee. /,I agree with you. /
"{C But } I just said, Howard, -/","{C and } I don't have a lot of background knowledge in, {F uh, } military strategy [ and, + and ] weaponry, [ and, + and ] all that kind of stuff.  /"
"It's a, -/",Indeed. /
"{D Well, } {C and } you're tempted if you've got cash, a little bit of cash,  and you don't have enough for the purchase, right. /",<Laughter>.
"{D actually, } {F um, } {C because } the circulation budget as high as it went, {F uh, } covered, {F uh, } a fairly remarkable amount  /",Right.  /
yeah.  /,we have not been able to catch any of the adult bass yet.  /
-- they do not # have control of it. # /,"-- {F uh, } [ I, + I ] like things that, {F uh, } [ are, + are ] wholesome, I guess. /"
{F Oh } this is fun.  /,"And, {F uh, } only because  I going to make some money,  /"
"{D Well } even in the courts [ yo-, + ] {D well, } {D well, } they're all appointed.  /","<Throat_clearing> {D Well, } [ I, + {F um, } they ]  even did a story on our news here in Texas on what people wanted to see more of,  /"
"there's only one problem I have with the whole  thing though, [ th-, + ] is, {D you know, } when they do it, I think our biggest problem  is, {D yes, } [ the, + the ] crooks and what have you are going to get weapons  if the weapons are available. /","{F Oh, } gol.  /"
"{C and, } as you said, it's how soon we get involved,  /",I'm in Detroit.  /
Uh-huh. /,Uh-huh. /
That's right. /,"{C but} there still, [the, + the] technology exists [to, + to] check it if they want.  /"
"[ I, + I'm ] living [ in, + ] just west of Baltimore, and  Frederick, {F um, } which is also just west of Baltimore, has a minor league team.  /","[ do-, + do ] you think there's going to be still a family unit  /"
"{F Oh, } [ [ you, + you, ] + you ] don't plan on  putting [ any, + any ] of that in? /","-- I think we're [ getting, + becoming ] more conscious because we just can't stick everything in landfills any more.  /"
"it b-, - /","-- There's just been more of a turn toward  {F uh, } environmental concerns,  /"
"again, I know it sounds like a rationalization,  /",{C And } I have women that do both  /
{C but } just like the computers. /,"{C but, } -/"
"{D Well, } I just got back from taking my little girl to her Brownie meeting,  /","That's the magic of Hollywood, special effects. /"
Yeah.  /,Uh-huh. /
That is right. /,"{C but, }  it's real hard to work in the summers and  holidays and weekends when you have four children and a husband,  /"
"{C And } if they are, -/","[ I have to, +  {D you know } I have to ] say that's not <child_talking> exactly my favorite thing either really <baby_crying>. /"
They say the roots have developed  /,-- but to keep the guy that's illegal from  getting his hands on one. /
"{C And, }  {F uh, } they, {F uh, } take an [ active, + relatively active ] part.  /","{C So, } {D you know. }  He just ruined his own career,  /"
{C and } I don't think like that. /,"[ it is not, + it is not ] fun.  /"
"{C but } [ it, + it's ]  really bad here.  /",Yeah. /
"{F Oh, } {D God, } [ I can't, +",uh-huh.  /
-- I haven't seen that much lately.,"she's only [ [ about, {F oh, } si-, +  between six and eight, ] +  six to eight ] weeks old  /"
"As a matter of fact, if I'm injured  or have an emergency when I'm, say in Germany or France, {F uh, } that, I'm automatically taken care of, /","Yeah,  /"
things.  /,"[ {C and, } + {C and } ] when I got in there, [ I didn't, + I wasn't, ] {D like, } able to give a full sample,  /"
{C but } we really need to do something. /,"{D yeah, } I've heard things about that.  /"
"I, {F um, } - /","{F Uh, } to see how well they retain the vocabulary and things like that. /"
"{C Because } [  I, +  I  ] noticed when I got here, too,  /",Uh-huh.  /
We're kind of the same way.  /,-- and do it again. /
"{D Well, } how do they become s-, - /",# Yeah  /
You don't have to stretch. /,"some of them I already knew about,  /"
"I want to [ as-, + talk ] to you about that # afterward,  /",-- {C because } they follow them around twenty-four hours a day. /
"[ We got, + we got ] what some people call the best beef in the world. /",Yeah. /
I haven't started yet  /,"{C and, } {F uh, } -/"
"{F Um, } th-, - /","it's a, {F uh, } ultra suede skirt and a blouse with a sweater, cardigan --"
"[ It's, + it's ] hard to think # --",Yeah. /
Yeah. /,-- <Snorting> it's ] certainly not a government for me.  /
Uh-huh. /,"Yeah,  /"
"[ The only, +  the only ] thing I see about Cuba though, is, {F uh, } after Fidel Castro dies, I don't think they'll be a communist power anymore.  /",Okay. /
Just one? /,"Gumbo, /"
"-- I think  ] years past maybe our criminals had a little more <laughter> morals, {D you know } --",{C and } it worked out pretty good.  /
# Yeah  /,Uh-huh. /
"[ even, + even  ] what you recycle, - /",Steven wants me to do popcorn right now. /
"{C And } we, - /",yeah. /
Yeah. /,Uh-huh. /
"of credit cards,","No,  /"
"[ [ I, + {D you know, } they, ] + they ] certainly have a very similar, {F uh, } charter at least in my mind.  /",And use it  /
"{D You know, } I've got some, {F uh, }  bushes around the [ fou-, +  {D you know, } foundation ] planning, things like that,  /","# that is # really interesting, /"
-- he lived in his own house as long as he could -- /,"Uh-huh,  /"
I really was disappointed this year when I see any of the candidates talking that they're talking about.  /,will ] respect.  /
"[ We, +  we ] got the connection through  a T I, <noise> {F uh, } church member. /",I know it. /
{C and } she was telling me about it. /,"[ [ Our, + our, ] + our ] Senate and Congress [ and, + and ] people [ that, + that ] deal everyday [ and, + and ] what's going to be done with those monies --"
"and, {F uh, } {F uh, } [ have a, + have a ]  lawn service.  /","[ is, + is ] crime a problem there?  /"
Uh-huh. /,"[ that can be, + [ that, +  that ] can really slow ] you down. /"
